학기,그룹명,주차,파일버전,타임라인인덱스,시작시간,종료시간,인원수
24-1,A2,W1,없음,1,0:10:45,0:56:20,4
24-1,A2,W2,(1),1,0:04:00,0:32:15,4
24-1,A2,W2,(1),2,0:32:20,0:33:10,3
24-1,A2,W2,(1),3,0:36:00,0:36:40,4
24-1,A2,W2,(1),4,0:36:45,0:37:20,3
24-1,A2,W2,(2),1,0:01:15,0:01:40,4
24-1,A2,W2,(2),2,0:01:45,0:02:45,3
24-1,A2,W2,(2),3,0:02:50,0:03:40,4
24-1,A2,W2,(2),4,0:03:45,0:04:00,3
24-1,A2,W2,(2),5,0:04:05,0:04:10,4
24-1,A2,W2,(2),6,0:04:15,0:04:45,3
24-1,A2,W2,(2),7,0:04:50,0:05:55,4
24-1,A2,W2,(2),8,0:06:00,0:10:30,3
24-1,A2,W2,(2),9,0:10:40,0:16:30,4
24-1,A2,W2,(2),10,0:16:35,0:16:44,3
24-1,A2,W2,(2),11,0:16:50,0:16:59,4
24-1,A2,W2,(2),12,0:17:05,0:18:54,3
24-1,A2,W2,(2),13,0:18:58,0:19:33,4
24-1,A2,W2,(2),14,0:19:35,0:19:41,3
24-1,A2,W2,(2),15,0:19:45,0:20:40,4
24-1,A2,W2,(2),16,0:20:42,0:20:57,3
24-1,A2,W2,(2),17,0:21:15,0:24:40,4
24-1,A2,W3,없음,1,0:04:55,1:00:20,4
24-1,A2,W4,없음,1,0:05:20,0:58:00,4
24-1,A2,W5,없음,1,0:02:45,0:57:45,3
24-1,A2,W6,없음,1,0:04:00,1:00:20,3
24-1,A2,W7,없음,1,0:10:30,1:01:40,4
24-1,A3,W1,없음,1,0:09:12,0:11:40,4
24-1,A3,W1,없음,2,0:11:50,0:59:05,4
24-1,A3,W2,없음,1,0:05:52,0:22:49,4
24-1,A3,W2,없음,2,0:22:53,1:05:53,4
24-1,A3,W3,없음,1,0:06:10,1:03:00,4
24-1,A3,W4,없음,1,0:04:51,0:57:50,4
24-1,A3,W5,없음,1,0:04:41,1:02:00,4
24-1,A3,W6,없음,1,0:03:03,0:52:50,4
24-1,A3,W7,없음,1,0:02:33,0:53:07,4
24-1,A4,W1,없음,1,0:15:22,1:06:12,4
